reviewId,review,score,date,AI_category,AI_confidence,memory_type,memory_confidence,search_behavior,search_confidence,failure_type,failure_confidence
5ededee8-5827-4c39-a383-67d8da81eba1,Can't easily move MY OWN photos from the app to my gallery on my phone??????? You're saying I c a n? I'm an octogenarian. Please tell me how many steps it would take to place them on my SD card? with 500 GBs?????,1,2026-09-24 05:33:51,difficulty finding or retrieving a specific photo,0.8566353917121887,object or document,0.2985748052597046,searched using a general or vague query,0.5331712365150452,"access, permission or account problem",0.3663996756076813
4323cd1d-e3bd-4260-a398-7e2dd615936e,shandaar pradarshan rha aur mobile chang karne par bhi photo delete nahi hote h,5,2026-09-24 01:01:50,difficulty finding or retrieving a specific photo,0.617702841758728,photo content or visual appearance,0.4994242489337921,searched using a general or vague query,0.33307406306266785,"photo was missing, deleted or not backed up",0.6851440072059631
d74a7c6a-bc9a-4c4f-a965-f593b9f45a02,lost 2016 pictured,5,2026-09-23 23:44:58,difficulty finding or retrieving a specific photo,0.5288376808166504,photo content or visual appearance,0.3795180022716522,searched using an object or document,0.27989551424980164,photo existed but was difficult to locate,0.5193706750869751
efef8675-2543-427f-8383-7bb4b96aeb0c,"Google Photos is remarkably smooth, but it still lacks essential local management tools. Please add an in-album search button to find specific filenames, persistent scroll memory so albums do not reset to the top, and continuous multi-photo selection without interruption. We also need direct on-device folder creation, customisable album column density, and a fast-scroll scrubber like Samsung Gallery. It would elevate the app completely.",4,2026-09-23 22:53:34,difficulty finding or retrieving a specific photo,0.5880740284919739,not enough information,0.3172544240951538,searched using words describing the photo content,0.24625764787197113,not enough information to determine,0.2818424701690674
1a506c57-3c26-40c2-8780-72c98467838a,I have Google Photos. As been able Copy and edited Old family photos,4,2026-09-23 22:28:09,"difficulty finding a photo using a person, place, event or other memory",0.5338169932365417,object or document,0.5353652834892273,searched using an object or document,0.5242302417755127,"access, permission or account problem",0.3122800886631012
dcbd92a7-b0b1-47ef-aed0-a64a21fa4dc9,in future through AI 🔍enable to retrieve authenciated photos from google accaunts it got dormant using previous line data instance i lost phones and mostly login using previous accaunts was a challange🇰🇪📲,5,2026-09-23 21:57:17,difficulty searching for old photos,0.5919451117515564,photo content or visual appearance,0.43220409750938416,searched using an object or document,0.4150809645652771,photo existed but was difficult to locate,0.3338484764099121
2e036605-be8d-48d7-ab99-0bb94f22df61,my picture,5,2026-09-23 20:46:10,"difficulty finding a photo using a person, place, event or other memory",0.5034298300743103,photo content or visual appearance,0.6529713273048401,searched using an object or document,0.7327539920806885,photo existed but was difficult to locate,0.32831475138664246
49f7d0ec-ef78-445f-abe6-36967084c176,my old photos,5,2026-09-23 20:27:41,"difficulty finding a photo using a person, place, event or other memory",0.5016999840736389,object or document,0.5124768018722534,searched using an object or document,0.5702126026153564,photo existed but was difficult to locate,0.43849506974220276
6c2fcc23-b95f-439f-9a48-73fbb02f07cd,it sucks I'm trying to delete photos from my backed up Google photo account not in my app on my phone when I delete a photo on my phone it deletes it from everywhere,1,2026-09-23 19:37:41,difficulty finding or retrieving a specific photo,0.6225047707557678,object or document,0.4521574079990387,searched using an object or document,0.4397900402545929,"photo was missing, deleted or not backed up",0.7434530854225159
b13d499f-2ea1-417f-905e-c694f2be40a3,why does it take so long for photos to be available to upload to other apps? you're fixing things until they're broken. JUNK,1,2026-09-23 19:18:43,difficulty finding or retrieving a specific photo,0.694585919380188,photo content or visual appearance,0.536974310874939,searched using a general or vague query,0.5380908250808716,photo existed but was difficult to locate,0.30369722843170166
c3217856-87e1-4c0b-8ae2-5432d12d8a46,"While I don't have anything to complain about, I find it a little crazy that we need wifi in order to look at our photos and stuff. Is there a reason for this?",4,2026-09-23 18:37:09,difficulty searching for old photos,0.6300137042999268,photo content or visual appearance,0.3989477753639221,searched using a general or vague query,0.2595404386520386,"access, permission or account problem",0.38192227482795715
851d7491-fef3-4f11-a089-8b2d32d6d3da,How come I cannot share directly from Google photos to my Google voice or Whatsapp anymore?... now I got to pull the photo into my Google voice,3,2026-09-23 16:27:41,difficulty finding or retrieving a specific photo,0.6524867415428162,photo content or visual appearance,0.39358440041542053,searched using a general or vague query,0.4471076726913452,"access, permission or account problem",0.5151569247245789
